_id,accomodates,air_conditioning,bathrooms,bed_type,bedrooms,beds,cable_tv,cancellation_policy,carbon_monoxide,checkin_24hr,cleaning_fee,comments,dryer,elevator,essentials,extra_people,family_kid_friendly,first_aid_kit,free_parking,gym,hair_dryer,hangers,heating,host_acceptance_rate,host_picture_url,host_response_rate,id,iron,kitchen,latitude,lock_on_bedroom_door,longtitude,number_of_reviews,pets_allowed,pool,price,property_type,review_scores_rating,room_type,security_deposit,shampoo,smoke_detector,washer,wheelchair_accessible,wireless_internet
60f1a2f4bc9dc8e90a6f299c,6,0,2,Real Bed,3,3,0,strict,0,0,90,"A beautiful home in Jamica Plain! We loved staying here and indeed loved the whole area. The apartment is really spacious and very convienient to subway, parks, restaurants and shops (all within around 5 minutes walk). Everything we could possible need was there and we enjoyed the art and the interior decor very much. As mentioned it is over three floors and not suitable for very young children or anyone with mobility poblems. We arrived during an excessive heat warning and the house was very warm, however we were able to keep the bedrooms cool with fans and the window a/c units. (Though we were glad when the temperature came down after a couple of days!). Highly recommended.      ",1,0,0,0,1,0,0,0,0,0,1,100,https://a1.muscache.com/im/users/5153431/profile_pic/1365036800/original.jpg?aki_policy=profile_x_medium,100,950046,0,1,42.31185272,0,-71.10926319,6,0,0,250,Apartment,90,Entire home/apt,250,1,1,1,0,1
60f1a2f4bc9dc8e90a6f2997,4,1,1,Real Bed,1,1,1,strict,1,0,100,"Perfection! The place, the location, the communication, well done! ",1,0,1,0,1,0,0,0,1,0,1,66,https://a0.muscache.com/im/users/814298/profile_pic/1310565817/original.jpg?aki_policy=profile_x_medium,98,7746589,1,1,42.3429067,0,-71.05602136,16,0,0,143,Apartment,91,Entire home/apt,500,0,1,1,0,1
60f1a2f4bc9dc8e90a6f299a,1,0,1,Real Bed,1,1,0,strict,1,0,50,"The owner, Henry came to the building on time to give the keys. Orichid gives fast response to message. The location of the building is great. It is close to Savin Hill station, close to restaurants and supermarkets. There isn''t any washers and dryers, but there is a laundry place 100 feet away.

The building is old. The owner, Henry doesn''t live here. They takes care of garbage, and bleach the floors. However, cleanliness is the biggest problem. I don''t think they clean dusts in the corners. Inside the room, they do better job at cleaning, but kitchen and the bathroom aren''t that clean.

I would recommend this place for short term, since the price and the location is convenient. However, I wouldn''t recommend this place for long term. If they improve cleaning, then it might be okay for long term.",0,0,0,0,0,0,0,0,0,0,1,100,https://a0.muscache.com/im/users/16442921/profile_pic/1402540435/original.jpg?aki_policy=profile_x_medium,79,3311675,0,1,42.31144209,0,-71.05763657,3,0,0,52,Apartment,73,Private room,100,1,1,0,0,1
60f1a2f4bc9dc8e90a6f299d,2,1,1.5,Real Bed,2,2,1,moderate,1,0,100,"Paul''s place was fantastic! Perfect location, spacious and comfy. All pics are accurate, their home looks just as is or even better. All communication was prompt and clear, all went off without a hitch. We  definitely look forward to staying here again. Thank you so much for sharing your home with us!",1,0,0,0,1,0,0,0,0,0,1,100,https://a1.muscache.com/im/users/26164941/profile_pic/1421438256/original.jpg?aki_policy=profile_x_medium,100,5067019,0,1,42.34531492,0,-71.07496561,3,0,0,150,Apartment,100,Entire home/apt,100,1,1,1,0,1
60f1a2f4bc9dc8e90a6f2993,6,1,1.5,Real Bed,2,3,0,strict,1,0,125,"Good apartment and great location, right around the corner from Toro and Flour! Easy check-in, maintenance/landlord was available for problems and responded quickly. Great kitchen for cooking. We enjoyed our stay. ",1,0,0,0,1,0,0,0,1,0,1,68,https://a1.muscache.com/im/users/1444340/profile_pic/1322330190/original.jpg?aki_policy=profile_x_medium,98,4178790,1,1,42.33745978,0,-71.07462415,37,0,0,235,Apartment,89,Entire home/apt,500,0,1,1,0,1
60f1a2f4bc9dc8e90a6f298c,1,0,1,Real Bed,1,1,1,flexible,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,https://a2.muscache.com/im/pictures/e1e0758f-01a5-4743-9e1d-78ef8568d57a.jpg?aki_policy=profile_x_medium,0,4887325,0,1,42.35261227,0,-71.07602728,0,0,0,100,Apartment,0,Private room,0,0,1,0,0,1
60f1a2f4bc9dc8e90a6f29a5,3,1,1,Real Bed,1,1,0,strict,0,0,50,"I stayed at Elizabeth''s place for 4 nights while attending a conference at the Hynes Convention Center. This apt is ideally located for such a business trip and very convenient to Copley and Back Bay. The apt is clean, comfortable and cozy. Elizabeth was prompt in all communication and accommodating. I will certainly look to stay here again on future trips to Boston!",1,0,1,0,0,0,0,0,0,0,1,100,https://a0.muscache.com/im/users/16779145/profile_pic/1410737403/original.jpg?aki_policy=profile_x_medium,95,4065578,0,1,42.34514083,0,-71.08102884,68,0,0,200,Apartment,95,Entire home/apt,200,1,0,1,0,1
60f1a2f4bc9dc8e90a6f2974,4,1,1,Real Bed,1,2,1,strict,1,1,95,The apartment was exactly as pictured. Very clean. It was less than 10 minutes to the airport and convention center. There is also a Whole Foods less than a block away!,1,1,1,10,1,0,0,1,1,1,1,98,https://a2.muscache.com/im/pictures/50576553-3d63-4e1e-8adf-8f4b4b7f09fe.jpg?aki_policy=profile_x_medium,71,8518665,1,1,42.34634242,0,-71.06385899,1,1,1,169,Apartment,100,Entire home/apt,400,1,0,1,0,1
60f1a2f4bc9dc8e90a6f297d,8,1,1,Real Bed,3,4,0,strict,0,0,100,"Ilan - очень внимательная и гостеприимная хозяйка, которая беспокоилась о нас, несмотря на очень позднее прибытие. В квартире было чисто и убрано, нас ждал приятный презент. ",1,0,0,50,0,0,0,0,0,0,1,67,https://a2.muscache.com/im/pictures/02ee4f1c-808b-41b2-8475-b53cb67d3681.jpg?aki_policy=profile_x_medium,100,12756776,0,1,42.32559243,0,-71.09739571,5,0,0,236,Apartment,88,Entire home/apt,250,0,0,1,0,0
60f1a2f4bc9dc8e90a6f2975,2,1,1,Real Bed,1,2,1,moderate,1,0,0,Excellent location and Tarek is very friendly.,1,1,1,10,0,0,0,0,0,1,1,100,https://a2.muscache.com/im/users/19470226/profile_pic/1407192943/original.jpg?aki_policy=profile_x_medium,100,8696236,1,1,42.36542677,0,-71.06773018,31,0,0,105,Condominium,94,Private room,250,1,1,1,1,1
60f1a2f4bc9dc8e90a6f299b,2,0,1,Real Bed,1,1,0,strict,1,0,45,"The place was ok. The host responded quickly to my questions (I arrived earlier than planned and I didn''t wait so long). He wasn''t particularly welcoming though. The bathroom is kind of dirty, the mattress is really thin, the bed is loud. The neibourhood is really cool, families and stuff, it''s right beside the subway, downtown is near. To be honest, staying there was cheap, the experience went along with it. If you can afford better, pay for better. If not, you can crash there at the end of your day and you''ll still have a wonderful time in Boston.",0,0,0,0,0,0,0,0,0,0,1,100,https://a0.muscache.com/im/users/16442921/profile_pic/1402540435/original.jpg?aki_policy=profile_x_medium,79,7454966,0,1,42.31981841,0,-71.05454611,9,0,0,69,Apartment,82,Private room,100,1,1,0,0,1
60f1a2f4bc9dc8e90a6f299f,4,1,2,Real Bed,4,3,0,moderate,1,0,100,"This was our first experience with Airbnb and to be honest it is difficult to imagine a better one.
The communication with Ken is friendly and very easy. 
The house is very comfortable, well equipped and is perfectly situated near the ground transportation.
And last but not least you can feel lot of love in this home.
We highly recommend.",1,0,0,0,1,0,1,0,0,0,1,88,https://a1.muscache.com/im/users/1693497/profile_pic/1349269262/original.jpg?aki_policy=profile_x_medium,100,332225,0,1,42.29128816,0,-71.11396006,41,0,0,159,House,94,Entire home/apt,500,1,1,1,0,1
60f1a2f4bc9dc8e90a6f2976,1,0,1,Airbed,1,1,0,moderate,1,0,50,Great spot for a short term stay. Close to bus stops and the Commuter Rail. Red Line T stop is only 8 minutes.,1,0,1,0,0,0,0,0,1,1,1,94,https://a0.muscache.com/im/users/16186589/profile_pic/1443582037/original.jpg?aki_policy=profile_x_medium,100,11258721,0,1,42.30461743,1,-71.07082864,4,0,0,37,Apartment,90,Private room,500,0,1,0,0,1
60f1a2f4bc9dc8e90a6f2980,2,1,1,Real Bed,1,1,1,flexible,0,0,45,"Ibrahim''s apartment was the perfect stay for me. I''m finishing up my thesis and needed to do a lot of writing with no distractions while attending a conference at the convention center. I was looking for a place where I could be a hermit without feeling any obligations to interact with anyone, and just get my work done - and that''s exactly what I got!

I arrived by bus on a Saturday evening, hopped on the Silver line (which stops just a block away), picked up my keys from a neighbor, and dropped off my bag before heading to a fantastic Senegalese place for dinner just a few blocks away.

The next day I wrote in peaceful solitude in the sunny living/dining room space before a refreshing ~40 minute afternoon walk to the convention center. The following day I packed up and left the keys on the counter per the instructions of Ibrahim''s friend, Michael, who was always available by phone for questions while Ibrahim was out of town.

The apartment is located in a wonderful part of the neighborhood, near restaurants, stores, and transportation.  I especially loved the African and Diaspora art throughout the house. The kitchen is very modern although I didn''t get a chance to use it; everything was clean and essentials laid out. All in all, I really couldn''t ask for a better stay and I hope to return with less work to do!",1,0,1,0,1,0,0,0,0,0,1,0,https://a2.muscache.com/im/users/1604662/profile_pic/1326502329/original.jpg?aki_policy=profile_x_medium,0,5058148,0,1,42.33569268,0,-71.07463211,6,0,0,160,Apartment,95,Entire home/apt,160,1,1,1,0,1
60f1a2f4bc9dc8e90a6f298b,2,1,1,Real Bed,0,1,1,flexible,1,0,40,,1,0,1,0,0,1,0,0,0,0,1,0,https://a2.muscache.com/im/users/1848513/profile_pic/1381164204/original.jpg?aki_policy=profile_x_medium,0,7971930,0,1,42.35219597,0,-71.0788546,0,0,0,225,Apartment,0,Entire home/apt,0,1,1,1,0,1
60f1a2f4bc9dc8e90a6f298e,4,1,1,Real Bed,1,1,1,strict,1,0,100,"Will''s apartment was great and just what we needed for the week! Very clean. Access to the apartment was super easy. Location couldn''t have been better for easy access to the city, short walk to southie hot spots on west Broadway and the Starbucks right downstairs was key! Wifi had great connection and I was able to work from the apartment a few days. Having central AC during the summer time in Boston was great! Had all the basic amenities we needed. I would definitely stay here again next time I''m in Boston.",1,0,1,0,1,0,0,0,1,0,1,68,https://a1.muscache.com/im/users/1444340/profile_pic/1322330190/original.jpg?aki_policy=profile_x_medium,98,9460898,0,1,42.34225207,0,-71.05711519,6,0,0,189,Apartment,100,Entire home/apt,500,0,1,1,0,1
60f1a2f4bc9dc8e90a6f29a1,2,1,1,Real Bed,1,1,0,strict,1,0,50,"Jason was fantastic and his place is great! We had a pretty strange request: to come over to his place and watch a sporting event that we couldn't get at our hotel. He was more than helpful and extremely friendly. Clean place with a great TV.",1,0,0,20,1,0,1,0,0,0,1,56,https://a1.muscache.com/im/users/5028116/profile_pic/1390397943/original.jpg?aki_policy=profile_x_medium,100,6059968,0,1,42.31359024,0,-71.1091153,10,1,0,100,Apartment,98,Shared room,500,1,1,1,0,1
