id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,last_review,review_scores_rating,cancellation_policy
6908525,https://www.airbnb.com/rooms/6908525,100%,91%,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.35047181,-71.08197091,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$160.00,,$225.00,$0.00,7,2016-08-22,83,strict
7856323,https://www.airbnb.com/rooms/7856323,71%,98%,https://a2.muscache.com/im/pictures/50576553-3d63-4e1e-8adf-8f4b4b7f09fe.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.34936658,-71.08199538,Apartment,Entire home/apt,2,1,0,0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$199.00,$400.00,$75.00,$10.00,17,2016-07-16,86,strict
7474855,https://www.airbnb.com/rooms/7474855,100%,91%,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02114, United States",Back Bay,42.34950979,-71.0820505,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$150.00,,$225.00,$0.00,2,2016-05-22,80,strict
7475379,https://www.airbnb.com/rooms/7475379,100%,91%,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.35082186,-71.08203891,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$150.00,,$225.00,$0.00,6,2016-08-17,93,strict
6879036,https://www.airbnb.com/rooms/6879036,100%,91%,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.35030731,-71.08285058,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer}",$150.00,,$225.00,$0.00,6,2016-06-10,100,strict
2881388,https://www.airbnb.com/rooms/2881388,100%,99%,https://a2.muscache.com/im/users/9410008/profile_pic/1412389906/original.jpg?aki_policy=profile_x_medium,"Gloucester Street, Boston, MA 02115, United States",Back Bay,42.34761659,-71.08494957,Apartment,Entire home/apt,7,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$695.00,$600.00,$150.00,$25.00,95,2016-08-21,96,strict
14745087,https://www.airbnb.com/rooms/14745087,71%,98%,https://a2.muscache.com/im/pictures/50576553-3d63-4e1e-8adf-8f4b4b7f09fe.jpg?aki_policy=profile_x_medium,"West Newton Street, Boston, MA 02116, United States",Back Bay,42.3452011,-71.07882828,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$189.00,$400.00,$95.00,$0.00,0,,,strict
7474044,https://www.airbnb.com/rooms/7474044,100%,91%,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.34935164,-71.08201364,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$148.00,,$225.00,$0.00,1,2016-07-16,100,strict
8188894,https://www.airbnb.com/rooms/8188894,N/A,N/A,https://a2.muscache.com/im/users/43195276/profile_pic/1442340266/original.jpg?aki_policy=profile_x_medium,"Marlborough Street, Boston, MA 02116, United States",Back Bay,42.35286944,-71.08313771,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials}",$400.00,,,$0.00,0,,,flexible
8410270,https://www.airbnb.com/rooms/8410270,N/A,N/A,https://a2.muscache.com/im/users/33688127/profile_pic/1434936219/original.jpg?aki_policy=profile_x_medium,"Boston, MA 02115, United States",Back Bay,42.34529925,-71.08564212,Apartment,Entire home/apt,2,1,1,1,Futon,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",Essentials}",$160.00,,$100.00,$0.00,1,2015-10-28,60,strict
