id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longtitude,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
6451456,https://www.airbnb.com/rooms/6451456,0,0,https://a1.muscache.com/im/users/33687245/profile_pic/1431992758/original.jpg?aki_policy=profile_x_medium,"Edgerly Road, Boston, MA 02115, United States",Fenway,42.34520065,-71.08891765,Apartment,Private room,1,1,1,1,Real Bed,1372,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7840752,https://www.airbnb.com/rooms/7840752,100,80,https://a1.muscache.com/im/users/8654826/profile_pic/1404153715/original.jpg?aki_policy=profile_x_medium,"Foster Street, Boston, MA 02135, United States",Brighton,42.34113082,-71.1597954,House,Private room,1,2,1,1,Real Bed,125,300,100,0,0,0,strict,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
13027627,https://www.airbnb.com/rooms/13027627,0,100,https://a2.muscache.com/im/pictures/ac2fa0d8-1071-49bb-9eb5-68423ea498b4.jpg?aki_policy=profile_x_medium,"Charlesgate East, Boston, MA 02215, United States",Fenway,42.34648893,-71.09214601,Apartment,Private room,2,1,1,1,Real Bed,45,0,35,10,2,0,flexible,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The host canceled this reservation 9 days before arrival. This is an automated posting.
9607385,https://www.airbnb.com/rooms/9607385,100,100,https://a2.muscache.com/im/pictures/f1af944c-62fb-405c-b477-7d9f238f4d2c.jpg?aki_policy=profile_x_medium,"Deforest Street, Boston, MA 02136, United States",Hyde Park,42.26773383,-71.13046552,House,Private room,1,1,1,1,Real Bed,50,0,0,0,0,0,flexible,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
8761060,https://www.airbnb.com/rooms/8761060,0,100,https://a2.muscache.com/im/users/45942466/profile_pic/1444177272/original.jpg?aki_policy=profile_x_medium,"Oakridge Street, Boston, MA 02126, United States",Mattapan,42.27616093,-71.07530587,Apartment,Private room,3,1,1,3,Real Bed,100,0,0,50,0,0,flexible,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
13564762,https://www.airbnb.com/rooms/13564762,100,94,https://a0.muscache.com/im/users/16186589/profile_pic/1443582037/original.jpg?aki_policy=profile_x_medium,"Stockton Street, Boston, MA 02124, United States",Dorchester,42.2836577,-71.07276273,Apartment,Private room,1,1,1,1,Airbed,31,500,50,0,2,100,moderate,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,Awesome!
8184662,https://www.airbnb.com/rooms/8184662,98,55,https://a2.muscache.com/im/users/30283594/profile_pic/1427748834/original.jpg?aki_policy=profile_x_medium,"Saint Alphonsus Street, Boston, MA 02120, United States",Mission Hill,42.33388414,-71.10040465,Apartment,Entire home/apt,3,1,1,1,Real Bed,169,0,100,0,1,40,strict,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,"Location is very good but both the building and the apartment are not in a good shape , was not worth the price paid"
7928656,https://www.airbnb.com/rooms/7928656,0,0,https://a2.muscache.com/im/pictures/fceb3dac-01b7-476b-9323-a4e527c33bd9.jpg?aki_policy=profile_x_medium,"Anderson St, Boston, MA 02114, United States",Beacon Hill,42.3593429,-71.06879856,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,0,0,0,0,0,flexible,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,
6449549,https://www.airbnb.com/rooms/6449549,0,0,https://a0.muscache.com/im/users/873460/profile_pic/1413039222/original.jpg?aki_policy=profile_x_medium,"Corey Road, Boston, MA 02135, United States",Brighton,42.34515786,-71.13659656,Apartment,Private room,2,1,1,1,Real Bed,48,0,10,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13624476,https://www.airbnb.com/rooms/13624476,100,100,https://a2.muscache.com/im/pictures/85546a19-c57a-4322-a01e-6dae773a0cdf.jpg?aki_policy=profile_x_medium,"Commercial Street, Boston, MA 02109, United States",North End,42.36622619,-71.05225031,Condominium,Entire home/apt,1,1,1,2,Real Bed,275,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
