REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,"Oshawa, Ontario",2011S0503532,Rate,257,units,0,v733362,10,2.6,,,,1
2019,"Oshawa, Ontario",2011S0503532,Rate,257,units,0,v733362,10,2.3,,,,1
2020,"Oshawa, Ontario",2011S0503532,Rate,257,units,0,v733362,10,2.2,,,,1
2015,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,3.9,,,,1
2016,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,3.4,,,,1
2017,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,2.2,,,,1
2018,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,1.5,,,,1
2019,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,1.8,,,,1
2020,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Rate,257,units,0,v733336,11,3.4,,,,1
2015,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,3.4,,,,1
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,2.8,,,,1
2017,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,1.8,,,,1
2018,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,1.6,,,,1
2019,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,1.8,,,,1
2020,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Rate,257,units,0,v733337,12,3.8,,,,1
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,5.5,,,,1
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,5.9,,,,1
2017,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,3.8,,,,1
2018,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,1.3,,,,1
2019,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,1.6,,,,1
2020,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Rate,257,units,0,v733338,13,2,,,,1
2015,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,3.5,,,,1
2016,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,0.9,,,,1
2017,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,1.1,,,,1
2018,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,1.6,,,,1
2019,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,2,,,,1
2020,"Peterborough, Ontario",2011S0503529,Rate,257,units,0,v42135253,37,2.2,,,,1
2015,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,2.7,,,,1
2016,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,2,,,,1
2017,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,1.3,,,,1
2018,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,2.2,,,,1
2019,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,2.1,,,,1
2020,"St. Catharines-Niagara, Ontario",2011S0503539,Rate,257,units,0,v733341,16,2.3,,,,1
2015,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,4.4,,,,1
2016,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,5,,,,1
2017,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,3.7,,,,1
2018,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,5,,,,1
2019,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,3.3,,,,1
2020,"Thunder Bay, Ontario",2011S0503595,Rate,257,units,0,v733347,22,3.6,,,,1
2015,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,1.5,,,,1
2016,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,1.3,,,,1
2017,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,1,,,,1
2018,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,1.1,,,,1
2019,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,1.5,,,,1
2020,"Toronto, Ontario",2011S0503535,Rate,257,units,0,v733349,23,3.4,,,,1
2015,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,3.3,,,,1
2016,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,2.2,,,,1
2017,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,2.2,,,,1
2018,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,2.5,,,,1
2019,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,2.6,,,,1
2020,"Windsor, Ontario",2011S0503559,Rate,257,units,0,v733353,27,3.2,,,,1
2015,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,2.8,,,,1
2016,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,2.8,,,,1
2017,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,2.9,,,,1
2018,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,2.9,,,,1
2019,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,3,,,,1
2020,"Winnipeg, Manitoba",2011S0503602,Rate,257,units,0,v733354,28,3.8,,,,1
