_id,accomodates,air_conditioning,bathrooms,bed_type,bedrooms,beds,cable_tv,cancellation_policy,carbon_monoxide,checkin_24hr,cleaning_fee,comments,dryer,elevator,essentials,extra_people,family_kid_friendly,first_aid_kit,free_parking,gym,hair_dryer,hangers,heating,host_acceptance_rate,host_picture_url,host_response_rate,id,iron,kitchen,latitude,listing_url,lock_on_bedroom_door,longtitude,neighbourhood_cleansed,number_of_reviews,pets_allowed,pool,price,property_type,review_scores_rating,room_type,security_deposit,shampoo,smoke_detector,street,washer,wheelchair_accessible,wireless_internet
60f9849c30e6339dfd92bccc,2,1,1,Real Bed,1,1,0,flexible,1,0,0,"Victor was a fantastic host, and his place was lovely. Accurate to pictures and in a great location!",1,0,1,0,1,0,0,0,0,1,1,0,https://a2.muscache.com/im/pictures/ceeba60e-609c-41b3-a7fc-0c4e9bc347d9.jpg?aki_policy=profile_x_medium,0,14843050,1,1,42.3404425,https://www.airbnb.com/rooms/14843050,0,-71.05083043,South Boston,2,0,0,125,Apartment,100,Private room,0,1,1,"Athens Street, Boston, MA 02127, United States",1,0,1
60f9849c30e6339dfd92bcda,2,1,1,Real Bed,1,1,1,flexible,0,1,0,"Rania's apartment was absolutely exquisite! Very clean and well furnished. She had an attendant come meet us within 5 minutes of arriving who walked us through all of the amenities. The South End neighborhood was very cute and easily walk able. I would recommend this place for your stay!",1,1,1,0,0,0,0,0,1,1,1,0,https://a2.muscache.com/im/pictures/b1eaa7d5-4485-4cde-aedc-026d3478ecdc.jpg?aki_policy=profile_x_medium,0,9430774,1,1,42.34346178,https://www.airbnb.com/rooms/9430774,0,-71.06419539,South End,1,0,0,100,Loft,100,Entire home/apt,0,0,1,"East Berkeley Street, Boston, MA 02118, United States",1,0,1
60f9849c30e6339dfd92bce8,2,1,1,Real Bed,1,2,1,flexible,1,1,0,"We had a great experience staying at Mike''s place while attending a convention at the Boston Convention and Exhibition Center. The location was a quick and easy walk to the convention center but was also a great location for dining and nightlife. 

The loft was the perfect size for our 2 person group and had all the amenities and comforts that we could hope for and 10x the visual appeal of any hotel room (the exposed brick is amazing)

Mike was very flexible and accommodating of our schedule and worked with us for our check in and check out times. 

All in all it was a great experience ",1,1,1,0,1,1,0,0,0,1,1,0,https://a2.muscache.com/im/pictures/8d1dafd6-46cd-45b0-a4e7-01e15fbec078.jpg?aki_policy=profile_x_medium,0,10905777,1,1,42.3396496,https://www.airbnb.com/rooms/10905777,0,-71.04625094,South Boston Waterfront,1,1,0,200,Condominium,100,Entire home/apt,0,1,1,"West 2nd Street, Boston, MA 02127, United States",1,1,1
60f9849c30e6339dfd92bcf2,2,0,1,Real Bed,1,1,0,strict,0,0,20,,1,0,0,25,0,0,0,0,0,0,1,0,https://a2.muscache.com/im/pictures/8882d691-9d90-4c75-ab53-77360fb00802.jpg?aki_policy=profile_x_medium,0,4625517,0,1,42.33470992,https://www.airbnb.com/rooms/4625517,0,-71.10650473,Mission Hill,0,0,0,100,House,0,Private room,400,1,1,"波士顿, MA 02115, United States",1,0,1
60f9849c30e6339dfd92bd01,2,1,2,Real Bed,1,1,0,flexible,1,0,15,The host canceled this reservation the day before arrival. This is an automated posting.,1,0,1,0,1,0,0,0,0,1,1,100,https://a2.muscache.com/im/pictures/6a11a24f-417d-49a5-b416-c128d01d7aba.jpg?aki_policy=profile_x_medium,100,13621476,0,1,42.32191936,https://www.airbnb.com/rooms/13621476,0,-71.11047179,Jamaica Plain,1,1,0,95,Apartment,0,Private room,100,0,1,"Centre Street, Boston, MA 02130, United States",1,0,1
60f9849c30e6339dfd92bd05,1,0,1.5,Real Bed,1,1,0,strict,1,0,50,The host canceled this reservation 2 days before arrival. This is an automated posting.,1,0,1,0,0,1,0,0,1,1,1,67,https://a2.muscache.com/im/pictures/e1b79a79-f1fd-4bec-adea-65769e14aaf2.jpg?aki_policy=profile_x_medium,100,14055624,1,0,42.35659961,https://www.airbnb.com/rooms/14055624,0,-71.13718051,Allston,1,0,0,58,Apartment,0,Private room,600,1,1,"Blaine Street, Boston, MA 02134, United States",0,0,1
60f9849c30e6339dfd92bd0f,1,0,1,Real Bed,1,1,0,flexible,1,0,75,,1,0,1,0,0,1,0,0,0,1,1,100,https://a2.muscache.com/im/pictures/8e58ae7f-2339-409f-9b5e-b0b53ec31a1b.jpg?aki_policy=profile_x_medium,100,8899828,1,1,42.28771015,https://www.airbnb.com/rooms/8899828,1,-71.06085871,Dorchester,0,0,0,79,House,0,Private room,100,0,1,"Florida Street, Boston, MA 02124, United States",1,0,1
60f9849c30e6339dfd92bd1e,3,1,1,Real Bed,1,1,1,flexible,0,0,100,,1,1,1,150,1,0,0,0,1,0,1,50,https://a2.muscache.com/im/pictures/08d2e217-4c26-4da4-b38a-9bd1b1380964.jpg?aki_policy=profile_x_medium,100,13060113,0,1,42.35139993,https://www.airbnb.com/rooms/13060113,1,-71.0765082,Back Bay,0,0,0,550,Apartment,0,Entire home/apt,500,1,1,"Dartmouth Street, Boston, MA 02116, United States",1,0,1
60f9849c30e6339dfd92bd2c,2,1,1,Real Bed,1,1,0,flexible,1,0,45,,1,0,1,15,1,0,0,0,0,0,1,100,https://a2.muscache.com/im/pictures/cbc0a933-6f80-4bf8-8b48-3df5554d85b8.jpg?aki_policy=profile_x_medium,100,8338792,0,1,42.34011035,https://www.airbnb.com/rooms/8338792,0,-71.14959063,Brighton,0,0,0,85,Apartment,0,Private room,100,1,1,"Commonwealth Avenue, Boston, MA 02135, United States",1,0,1
60f9849c30e6339dfd92bd37,4,1,1,Real Bed,2,2,0,strict,1,0,100,,1,0,1,0,1,1,0,0,1,1,1,100,https://a2.muscache.com/im/pictures/b4272ec0-92df-43c6-827e-604298e40b57.jpg?aki_policy=profile_x_medium,100,14731382,1,1,42.35046584,https://www.airbnb.com/rooms/14731382,0,-71.06709323,Bay Village,0,0,0,299,House,0,Entire home/apt,500,1,1,"Piedmont Street, Boston, MA 02116, United States",1,0,1
